"local_id","p_agegp","agegp1","agegp2","agegp3","agegp4","agegp5"
13800332,"agegp3",NA,NA,2,1,1
13800333,"agegp2",NA,1,NA,4,1
13800334,"agegp3",NA,NA,5,1,NA
13800335,"agegp3",NA,NA,NA,3,1
13800336,"agegp5",NA,NA,2,2,2
13800337,"agegp5",NA,NA,NA,1,2
13800338,"agegp3",NA,NA,1,3,1
13800339,"agegp5",NA,NA,NA,NA,3
13800340,"agegp4",NA,NA,NA,6,NA
13800341,"agegp5",NA,1,1,3,NA
13800342,"agegp4",NA,NA,NA,4,1
13800343,"agegp5",NA,NA,NA,NA,3
13800344,"agegp3",NA,NA,4,1,1
13800345,"agegp4",NA,NA,NA,2,1
13800346,"agegp3",NA,1,4,2,NA
13800347,"agegp4",NA,NA,1,3,1
13800348,"agegp4",NA,NA,NA,3,2
13800349,"agegp3",NA,NA,4,2,NA
13800350,"agegp4",NA,NA,NA,3,1
13800351,"agegp4",NA,1,NA,2,1
13800352,"agegp4",NA,2,NA,2,2
13800353,"agegp3",NA,NA,NA,4,3
13800354,"agegp5",NA,NA,1,2,2
13800355,"agegp3",NA,NA,2,2,2
13800356,"agegp4",NA,NA,1,3,NA
13800357,"agegp4",NA,NA,NA,5,NA
13800358,"agegp4",NA,NA,1,4,2
13800359,"agegp5",NA,NA,NA,2,1
13800360,"agegp4",NA,1,NA,6,NA
13800361,"agegp2",NA,NA,2,2,NA
13800362,"agegp4",NA,NA,3,2,NA
13800363,"agegp3",NA,NA,5,1,NA
13800364,"agegp3",NA,NA,5,3,NA
13800365,"agegp5",NA,NA,1,4,1
13800366,"agegp4",NA,NA,1,2,1
13800367,"agegp4",NA,NA,NA,5,NA
13800368,"agegp4",NA,NA,NA,5,2
13800369,"agegp4",NA,NA,1,3,1
13800370,"agegp4",NA,1,1,4,1
13800371,"agegp5",NA,NA,1,5,2
13800372,"agegp5",NA,NA,1,3,NA
13800373,"agegp5",NA,NA,NA,3,3
13800374,"agegp4",NA,NA,NA,4,2
13800375,"agegp4",NA,NA,NA,6,2
13800376,"agegp4",NA,NA,NA,4,2
13800377,"agegp4",NA,NA,1,3,2
13800378,"agegp4",NA,NA,NA,3,1
13800379,"agegp3",NA,1,2,2,NA
13800380,"agegp4",NA,1,NA,4,2
13800381,"agegp4",NA,NA,2,7,1
13800382,"agegp4",NA,NA,2,4,NA
13800383,"agegp5",NA,NA,1,6,2
13800384,"agegp4",NA,NA,NA,6,NA
13800385,"agegp4",NA,NA,NA,9,NA
13800386,"agegp5",NA,NA,NA,7,1
13800387,"agegp4",NA,NA,NA,5,1
13800388,"agegp4",NA,NA,1,6,NA
13800389,"agegp5",NA,NA,NA,1,4
13800390,"agegp3",NA,NA,3,2,1
13800391,"agegp5",NA,NA,1,3,2
13800392,"agegp4",1,1,NA,9,1
13800393,"agegp3",NA,NA,2,1,2
13800394,"agegp2",NA,NA,1,2,2
13800395,"agegp2",NA,2,NA,5,2
13800396,"agegp4",NA,NA,2,5,NA
13800397,"agegp2",NA,NA,NA,5,1
13800398,"agegp4",NA,1,NA,5,1
13800399,"agegp3",NA,NA,2,3,NA
13800400,"agegp5",NA,NA,NA,3,1
13800401,"agegp3",NA,NA,1,6,3
13800402,"agegp4",NA,NA,NA,4,1
13800403,"agegp5",NA,1,2,7,2
13800404,"agegp4",NA,NA,NA,5,1
13800405,"agegp4",NA,NA,NA,4,1
13800406,"agegp3",NA,NA,4,4,NA
13800407,"agegp4",NA,NA,2,4,1
13800408,"agegp5",NA,1,1,4,2
13800409,"agegp2",NA,2,NA,2,2
13800410,"agegp3",NA,NA,3,2,NA
13800411,"agegp4",NA,NA,1,2,1
13800412,"agegp5",NA,NA,NA,3,3
13800413,"agegp3",NA,NA,2,3,2
13800414,"agegp3",NA,NA,2,3,2
13800415,"agegp3",NA,NA,NA,5,NA
13800416,"agegp4",NA,NA,2,4,2
13800417,"agegp3",NA,NA,1,5,NA
13800418,"agegp5",NA,1,NA,5,3
13800419,"agegp2",NA,2,1,4,2
13800420,"agegp4",NA,NA,1,5,1
13800421,"agegp5",NA,NA,NA,NA,4
13800422,"agegp5",NA,1,NA,4,3
13800423,"agegp5",NA,NA,NA,2,1
13800424,"agegp4",NA,NA,2,2,2
13800425,"agegp4",NA,NA,NA,2,2
13800426,"agegp4",NA,NA,NA,5,2
13800427,"agegp3",NA,1,2,4,1
13800428,"agegp3",NA,NA,4,2,NA
13800429,"agegp2",NA,NA,1,4,NA
13800430,"agegp4",NA,NA,NA,6,NA
13800431,"agegp3",NA,NA,4,2,NA
13800432,"agegp5",NA,NA,NA,2,1
13800433,"agegp2",NA,NA,NA,6,1
13800434,"agegp4",NA,1,NA,3,1
13800435,"agegp3",NA,1,1,2,NA
13800436,"agegp3",NA,NA,4,1,NA
13800437,"agegp4",NA,1,2,4,NA
13800438,"agegp4",NA,NA,NA,5,NA
13800439,"agegp4",NA,NA,2,6,NA
13800440,"agegp3",NA,NA,4,2,NA
13800441,"agegp5",NA,NA,NA,1,4
13800442,"agegp5",NA,NA,NA,NA,3
13800443,"agegp2",NA,NA,2,2,NA
13800444,"agegp4",NA,NA,NA,5,NA
13800445,"agegp4",NA,NA,NA,4,NA
13800446,"agegp4",NA,NA,2,6,1
13800447,"agegp4",NA,1,NA,3,NA
13800448,"agegp2",NA,NA,3,2,1
13800449,"agegp4",NA,NA,3,6,3
13800450,"agegp3",NA,NA,1,2,NA
13800451,"agegp4",NA,NA,2,3,NA
13800452,"agegp4",NA,1,1,3,NA
13800453,"agegp4",NA,NA,3,2,2
13800454,"agegp3",NA,1,2,3,NA
13800455,"agegp3",NA,NA,3,1,1
13800456,"agegp4",NA,NA,NA,4,NA
13800457,"agegp2",NA,NA,1,3,1
13800458,"agegp3",NA,NA,5,2,NA
13800459,"agegp3",NA,1,2,5,NA
13800460,"agegp5",NA,NA,1,3,1
13800461,"agegp4",NA,NA,2,4,NA
13800462,"agegp4",NA,NA,1,6,NA
13800463,"agegp3",NA,NA,6,1,NA
13800464,"agegp4",NA,NA,NA,2,1
13800465,"agegp3",NA,NA,3,2,1
13800466,"agegp3",NA,NA,2,2,NA
13800467,"agegp4",NA,NA,NA,2,2
13800468,"agegp3",1,NA,1,3,NA
13800469,"agegp3",NA,1,3,2,NA
13800470,"agegp4",NA,1,1,8,NA
13800471,"agegp3",NA,NA,4,1,NA
13800472,"agegp3",NA,NA,4,1,NA
13800473,"agegp2",NA,2,NA,2,NA
13800474,"agegp4",NA,1,1,5,NA
13800475,"agegp2",NA,2,1,4,1
13800476,"agegp4",NA,1,2,7,NA
13800477,"agegp3",NA,NA,3,3,NA
13800478,"agegp4",NA,1,1,6,3
13800479,"agegp4",NA,NA,1,4,NA
13800480,"agegp4",NA,NA,NA,4,2
13800481,"agegp2",NA,1,1,3,4
13800482,"agegp5",NA,NA,NA,NA,3
13800483,"agegp4",NA,NA,1,3,1
13800484,"agegp4",NA,NA,NA,3,NA
13800485,"agegp4",NA,1,NA,4,NA
13800486,"agegp5",NA,NA,NA,2,3
13800487,"agegp3",NA,NA,2,3,NA
13800488,"agegp3",NA,NA,4,2,NA
13800489,"agegp4",NA,NA,NA,2,1
13800490,"agegp4",NA,NA,1,7,NA
13800491,"agegp5",NA,NA,NA,7,1
13800492,"agegp2",NA,3,1,6,NA
13800493,"agegp2",NA,NA,NA,4,3
13800494,"agegp4",NA,NA,NA,6,2
13800495,"agegp3",NA,NA,8,3,1
13800496,"agegp4",NA,NA,2,8,1
13800497,"agegp4",NA,NA,NA,5,2
13800498,"agegp4",NA,NA,2,4,2
13800499,"agegp4",NA,NA,NA,5,NA
13800500,"agegp5",NA,NA,1,3,3
13800501,"agegp5",NA,NA,2,2,1
13800502,"agegp4",NA,NA,NA,5,2
13800503,"agegp5",NA,1,NA,3,3
13800504,"agegp5",NA,NA,NA,2,3
13800505,"agegp4",NA,NA,1,4,1
13800506,"agegp3",NA,NA,4,2,1
13800507,"agegp3",NA,NA,6,5,2
13800508,"agegp3",NA,NA,7,2,2
13800509,"agegp4",NA,NA,2,3,NA
13800510,"agegp3",NA,NA,6,3,NA
13800511,"agegp5",1,NA,1,4,3
13800512,"agegp5",NA,NA,2,3,NA
13800513,"agegp5",NA,NA,NA,4,1
13800514,"agegp5",NA,NA,2,2,3
13800515,"agegp4",NA,1,1,6,2
13800516,"agegp4",NA,NA,NA,3,4
13800517,"agegp5",NA,1,NA,4,NA
13800518,"agegp5",NA,NA,NA,3,1
13800519,"agegp5",NA,2,NA,5,NA
13800520,"agegp5",NA,2,NA,6,4
13800521,"agegp5",NA,NA,2,2,NA
13800522,"agegp5",NA,NA,NA,2,2
13800523,"agegp5",NA,NA,NA,5,2
13800524,"agegp4",NA,NA,1,3,NA
13800525,"agegp4",1,1,1,3,2
13800526,"agegp4",NA,NA,NA,5,5
13800527,"agegp4",NA,NA,3,4,3
13800528,"agegp3",NA,NA,3,3,NA
13800529,"agegp5",NA,NA,NA,2,1
13800530,"agegp2",NA,4,NA,2,1
13800531,"agegp5",NA,NA,NA,3,NA
13800532,"agegp4",NA,NA,NA,3,1
13800533,"agegp4",NA,NA,NA,4,1
13800534,"agegp4",1,1,NA,3,3
13800535,"agegp3",NA,NA,NA,4,2
13800536,"agegp3",NA,NA,5,3,NA
13800537,"agegp2",NA,NA,2,2,1
13800538,"agegp5",NA,1,1,2,NA
13800539,"agegp2",NA,7,1,2,NA
13800540,"agegp4",NA,NA,1,7,NA
13800541,"agegp4",NA,NA,1,7,NA
13800542,"agegp4",NA,NA,NA,2,2
13800543,"agegp5",NA,NA,NA,6,1
13800544,"agegp2",NA,3,1,4,5
13800545,"agegp2",NA,4,3,2,2
13800546,"agegp5",NA,NA,NA,3,NA
13800547,"agegp4",NA,1,NA,2,2
13800548,"agegp4",NA,NA,NA,3,2
13800549,"agegp5",NA,NA,3,9,1
13800550,"agegp5",NA,NA,NA,5,1
13800551,"agegp4",NA,NA,NA,6,2
13800552,"agegp4",NA,NA,1,2,3
13800553,"agegp4",NA,NA,NA,10,NA
13800554,"agegp4",NA,NA,2,5,NA
13800555,"agegp4",NA,NA,NA,2,2
13800556,"agegp3",NA,NA,6,4,NA
13800557,"agegp2",NA,NA,9,4,1
13800558,"agegp4",NA,1,NA,5,NA
13800559,"agegp4",1,NA,NA,2,2
13800560,"agegp4",NA,NA,NA,3,1
13800561,"agegp4",NA,NA,NA,4,1
13800562,"agegp5",NA,NA,NA,3,1
13800563,"agegp3",NA,NA,6,2,1
13800564,"agegp4",NA,NA,2,6,1
13800565,"agegp4",NA,NA,NA,6,NA
13800566,"agegp4",NA,NA,NA,4,2
13800567,"agegp4",NA,1,NA,7,2
13800568,"agegp3",NA,NA,3,10,1
13800569,"agegp3",NA,NA,6,1,NA
13800570,"agegp5",NA,NA,1,5,1
13800571,"agegp2",NA,NA,1,6,1
13800572,"agegp4",NA,NA,1,5,1
13800573,"agegp4",NA,NA,NA,7,3
13800574,"agegp4",NA,NA,1,4,1
13800575,"agegp3",NA,NA,5,2,NA
13800576,"agegp4",NA,NA,2,4,2
13800577,"agegp3",NA,NA,6,1,1
13800578,"agegp4",NA,NA,1,10,3
13800579,"agegp4",NA,1,NA,6,1
13800580,"agegp5",NA,1,1,1,3
13800581,"agegp4",NA,NA,NA,3,1
13800582,"agegp5",NA,NA,1,2,1
13800583,"agegp2",NA,NA,NA,3,2
13800584,"agegp2",NA,2,10,4,NA
13800585,"agegp3",NA,NA,7,2,NA
13800586,"agegp5",NA,3,2,4,2
13800587,"agegp4",NA,NA,NA,7,2
13800588,"agegp5",NA,NA,NA,4,3
13800589,"agegp4",NA,NA,1,5,2
13800590,"agegp5",NA,NA,NA,8,1
13800591,"agegp4",NA,NA,1,10,1
13800592,"agegp4",NA,NA,2,6,NA
13800593,"agegp3",NA,NA,5,2,NA
13800594,"agegp4",NA,1,1,4,NA
13800595,"agegp3",NA,NA,9,6,NA
13800596,"agegp2",NA,NA,NA,4,2
13800597,"agegp2",NA,NA,1,5,2
13800598,"agegp4",NA,NA,NA,6,2
13800599,"agegp4",NA,NA,2,3,NA
13800600,"agegp4",NA,1,NA,6,2
13800601,"agegp2",NA,NA,2,4,2
13800602,"agegp5",NA,NA,NA,3,1
13800603,"agegp5",NA,NA,NA,4,1
13800604,"agegp3",NA,NA,4,2,1
13800605,"agegp4",NA,NA,2,9,4
13800606,"agegp5",NA,1,NA,5,NA
13800607,"agegp5",NA,NA,NA,2,3
13800608,"agegp3",NA,1,NA,3,2
13800609,"agegp2",NA,1,1,7,NA
13800610,"agegp2",NA,NA,NA,4,2
13800611,"agegp4",NA,NA,2,4,NA
13800612,"agegp3",NA,NA,7,4,1
13800613,"agegp2",NA,1,1,6,2
13800614,"agegp4",NA,NA,NA,4,4
