"local_id","p_agegp","agegp1","agegp2","agegp3","agegp4","agegp5","agegp6"
2311,"agegp5",NA,NA,1,NA,1,NA
2313,"agegp5",NA,NA,NA,NA,1,NA
2314,"agegp5",NA,NA,2,NA,2,1
2315,"agegp6",NA,NA,NA,NA,1,3
2317,"agegp5",NA,1,1,1,2,1
2318,"agegp5",1,3,NA,NA,4,3
2319,"agegp6",NA,NA,NA,NA,NA,2
2320,"agegp5",NA,NA,2,NA,1,NA
2321,"agegp5",NA,NA,NA,NA,1,NA
2322,"agegp6",NA,NA,1,NA,2,NA
2324,"agegp5",NA,1,NA,NA,NA,NA
2325,"agegp5",NA,NA,2,NA,1,1
2326,"agegp5",NA,1,NA,NA,2,1
2327,"agegp6",NA,NA,NA,NA,1,NA
2328,"agegp5",NA,1,NA,5,19,2
2329,"agegp5",NA,1,NA,NA,3,NA
2330,"agegp6",NA,NA,NA,NA,1,2
2331,"agegp5",NA,NA,1,1,2,2
2332,"agegp5",NA,NA,NA,NA,5,NA
2333,"agegp6",NA,NA,3,1,1,1
2334,"agegp6",NA,NA,NA,NA,1,NA
2335,"agegp6",NA,NA,1,NA,2,1
2337,"agegp4",NA,1,2,NA,2,NA
2338,"agegp6",NA,1,1,2,NA,1
2339,"agegp5",NA,NA,NA,NA,1,NA
2340,"agegp5",NA,NA,1,NA,2,NA
2341,"agegp6",NA,1,NA,NA,2,2
2343,"agegp5",NA,2,NA,NA,1,1
2344,"agegp6",4,NA,NA,NA,2,2
2345,"agegp6",NA,4,NA,1,2,1
2346,"agegp6",NA,NA,1,1,1,1
2347,"agegp5",NA,2,6,NA,8,1
2348,"agegp5",NA,NA,6,1,2,4
2349,"agegp5",NA,NA,NA,1,6,NA
2351,"agegp5",NA,1,1,NA,1,NA
2352,"agegp5",NA,NA,2,1,3,2
2353,"agegp5",NA,NA,6,NA,1,NA
2354,"agegp5",NA,NA,NA,1,2,NA
2355,"agegp5",NA,NA,1,2,4,NA
2356,"agegp5",NA,NA,2,NA,1,NA
2358,"agegp6",NA,1,1,NA,3,2
2359,"agegp5",NA,NA,NA,1,3,2
2360,"agegp6",NA,NA,NA,NA,NA,3
2361,"agegp6",NA,NA,NA,NA,NA,2
2362,"agegp5",NA,3,2,NA,1,2
2363,"agegp5",NA,NA,1,NA,2,NA
2364,"agegp5",NA,NA,NA,NA,1,1
2365,"agegp6",NA,NA,1,NA,3,1
2366,"agegp6",NA,NA,NA,NA,2,1
2367,"agegp6",NA,NA,NA,NA,NA,1
2369,"agegp5",NA,NA,NA,2,2,1
2370,"agegp4",NA,NA,2,1,4,NA
2371,"agegp6",NA,NA,1,NA,NA,1
2372,"agegp5",NA,NA,NA,NA,1,2
2373,"agegp5",1,1,NA,3,5,3
2375,"agegp5",NA,1,1,1,3,NA
2376,"agegp5",NA,NA,4,1,5,1
2377,"agegp5",NA,1,NA,NA,3,1
2378,"agegp6",NA,NA,NA,1,NA,1
2380,"agegp6",NA,NA,NA,NA,2,NA
2381,"agegp5",NA,NA,2,NA,1,NA
2382,"agegp5",NA,3,NA,NA,1,NA
