"local_id","p_agegp","agegp1","agegp2","agegp3","agegp4"
1109,"agegp3",NA,NA,2,1
1110,"agegp3",NA,1,5,3
1111,"agegp3",NA,NA,4,8
1113,"agegp3",NA,2,NA,2
1114,"agegp2",NA,NA,1,2
1115,"agegp3",NA,1,1,3
1116,"agegp2",NA,1,NA,5
1117,"agegp2",NA,3,2,5
1118,"agegp2",NA,15,NA,5
1119,"agegp2",NA,NA,3,2
1120,"agegp2",NA,1,NA,8
1121,"agegp2",NA,NA,2,4
1122,"agegp2",NA,1,NA,2
1123,"agegp2",NA,1,NA,4
1124,"agegp2",NA,4,NA,13
1125,"agegp3",NA,NA,10,NA
1127,"agegp3",NA,1,8,2
1130,"agegp3",NA,NA,2,NA
1131,"agegp3",NA,NA,9,3
1133,"agegp3",NA,1,NA,3
1136,"agegp3",NA,1,1,5
1139,"agegp3",NA,8,5,3
1140,"agegp2",NA,NA,1,8
1142,"agegp2",NA,NA,NA,3
1144,"agegp2",NA,NA,1,2
1146,"agegp2",NA,7,1,7
1148,"agegp2",NA,NA,NA,4
1149,"agegp3",NA,NA,1,2
1150,"agegp2",NA,1,NA,2
1151,"agegp3",NA,1,3,2
1152,"agegp3",NA,NA,NA,4
1153,"agegp3",NA,1,4,2
1154,"agegp3",NA,NA,1,2
1155,"agegp3",NA,1,1,1
1158,"agegp3",NA,1,1,4
1159,"agegp3",NA,NA,1,3
1160,"agegp3",NA,NA,5,6
1161,"agegp3",NA,1,2,2
1162,"agegp3",NA,1,1,3
1163,"agegp3",NA,1,3,4
1165,"agegp2",NA,NA,3,3
1166,"agegp2",NA,1,NA,2
1168,"agegp2",NA,4,NA,6
1169,"agegp2",NA,NA,NA,3
1170,"agegp2",NA,1,NA,5
1171,"agegp2",NA,2,NA,4
1172,"agegp2",NA,NA,NA,3
1174,"agegp1",NA,NA,NA,7
1175,"agegp1",NA,3,2,1
1176,"agegp3",NA,NA,3,NA
1178,"agegp3",NA,NA,23,4
1180,"agegp3",NA,4,10,2
1181,"agegp3",NA,NA,NA,3
1182,"agegp3",NA,NA,4,2
1183,"agegp3",NA,NA,3,3
1184,"agegp3",NA,NA,2,1
1185,"agegp3",NA,4,3,4
1187,"agegp3",NA,3,2,6
1188,"agegp3",NA,2,10,5
1189,"agegp2",NA,2,3,2
1190,"agegp2",NA,1,NA,3
1191,"agegp2",NA,NA,1,2
1193,"agegp2",NA,1,NA,2
1195,"agegp2",NA,3,NA,4
1197,"agegp2",NA,10,NA,8
1198,"agegp1",1,NA,NA,3
1199,"agegp3",NA,NA,NA,3
1200,"agegp1",NA,NA,1,4
1201,"agegp3",1,NA,NA,4
1202,"agegp3",NA,NA,1,3
1203,"agegp3",NA,1,7,4
1204,"agegp3",NA,NA,5,3
1205,"agegp3",NA,NA,5,2
1206,"agegp3",NA,NA,15,3
1207,"agegp3",NA,NA,3,5
1209,"agegp3",NA,NA,4,3
1210,"agegp3",NA,NA,2,3
1211,"agegp3",NA,NA,2,2
1212,"agegp3",NA,1,6,3
1213,"agegp3",NA,5,2,15
1214,"agegp2",NA,NA,1,2
1215,"agegp2",NA,4,1,6
1216,"agegp2",NA,NA,1,3
1217,"agegp2",NA,1,3,3
1218,"agegp2",NA,NA,2,2
1219,"agegp2",NA,NA,1,2
1220,"agegp2",NA,1,1,4
1222,"agegp2",1,NA,1,3
1223,"agegp1",NA,1,NA,5
1224,"agegp2",NA,NA,2,2
1225,"agegp1",NA,NA,NA,6
1227,"agegp3",NA,NA,18,3
1228,"agegp3",NA,NA,6,1
1229,"agegp3",NA,NA,4,3
1230,"agegp3",NA,NA,6,3
1231,"agegp3",NA,1,2,3
1233,"agegp3",NA,NA,6,2
1234,"agegp3",NA,NA,2,1
1235,"agegp3",NA,1,3,3
1236,"agegp3",NA,1,7,1
1237,"agegp3",NA,1,NA,2
1239,"agegp2",NA,NA,2,3
1240,"agegp2",NA,NA,5,4
1241,"agegp2",NA,1,2,2
1243,"agegp2",NA,1,NA,2
1245,"agegp2",NA,2,NA,2
1246,"agegp2",NA,2,NA,2
1249,"agegp3",NA,1,NA,5
1250,"agegp1",NA,NA,NA,3
1251,"agegp3",NA,NA,3,1
1253,"agegp3",NA,1,13,2
1254,"agegp3",NA,NA,10,NA
1258,"agegp3",NA,NA,7,3
1259,"agegp3",NA,NA,2,4
1262,"agegp3",NA,1,1,2
1263,"agegp3",NA,NA,8,5
1264,"agegp2",NA,2,NA,5
1265,"agegp3",NA,2,2,2
1266,"agegp2",NA,2,2,6
1267,"agegp2",NA,NA,NA,2
1268,"agegp2",NA,3,NA,4
1269,"agegp2",NA,2,NA,4
1270,"agegp2",NA,4,NA,3
1271,"agegp2",NA,1,2,3
1272,"agegp2",1,NA,NA,2
1273,"agegp1",NA,NA,NA,1
1274,"agegp1",NA,NA,NA,6
1275,"agegp3",2,1,NA,3
1276,"agegp3",NA,3,1,2
1277,"agegp2",NA,NA,3,5
1278,"agegp2",NA,2,NA,1
1280,"agegp2",NA,1,1,2
1283,"agegp3",NA,NA,4,1
1284,"agegp3",NA,NA,1,2
1285,"agegp3",NA,1,2,5
1286,"agegp2",NA,1,1,4
1287,"agegp2",NA,1,NA,4
1288,"agegp2",NA,1,NA,4
1290,"agegp2",NA,NA,1,1
1291,"agegp3",NA,NA,5,2
1292,"agegp3",NA,1,2,2
1293,"agegp3",NA,NA,2,4
1294,"agegp3",NA,NA,NA,2
1295,"agegp3",NA,NA,3,3
1296,"agegp3",NA,2,5,5
1298,"agegp3",NA,1,2,1
1299,"agegp3",NA,NA,1,2
1300,"agegp1",NA,NA,NA,4
1303,"agegp2",NA,10,6,5
1305,"agegp3",NA,1,6,3
1306,"agegp3",NA,NA,2,1
1307,"agegp3",NA,NA,3,5
1308,"agegp3",NA,NA,7,2
1309,"agegp3",NA,NA,NA,3
1310,"agegp1",NA,1,NA,3
1311,"agegp2",NA,1,2,5
1314,"agegp2",NA,2,1,4
1316,"agegp3",NA,3,14,3
1318,"agegp3",NA,1,6,2
1319,"agegp3",NA,NA,7,2
1321,"agegp3",NA,NA,3,2
1322,"agegp3",NA,NA,1,2
1323,"agegp3",NA,NA,9,4
1326,"agegp2",NA,NA,NA,2
1330,"agegp3",NA,NA,4,4
1331,"agegp3",NA,2,3,2
1332,"agegp3",NA,NA,1,2
1334,"agegp2",NA,2,NA,1
1335,"agegp2",NA,1,NA,2
1337,"agegp2",NA,2,5,5
1338,"agegp2",NA,1,1,4
1339,"agegp3",NA,1,2,2
1340,"agegp3",NA,NA,1,2
1341,"agegp3",NA,NA,18,4
1342,"agegp3",NA,1,5,1
1343,"agegp3",NA,NA,7,2
1344,"agegp3",NA,1,5,6
